SPY,EFA,EEM,TLT,LQD
83.326706,31.422209,16.263094,54.030739,55.570965
83.784088,31.563084,16.338812,54.19558,55.621746
82.862213,31.170675,16.059855,54.407452,55.444073
82.69783,30.989567,15.894875,54.619308,55.753666
83.46965,31.114328,16.083759,54.554562,55.6674
84.027084,31.110308,16.087749,54.70763,55.697865
84.891754,31.46246,16.408148,55.072525,55.895763
85.249092,31.484596,16.467926,54.931236,55.81461
85.127594,31.351789,16.426483,54.995983,55.799366
85.599274,31.611382,16.480682,55.425697,56.032768
85.39917,31.528862,16.432859,55.578667,56.15461
85.334839,31.442329,16.314899,55.190205,56.149536
85.792213,31.46246,16.498217,55.17255,56.185055
85.935127,31.59326,16.6098,55.231392,56.180004
85.384872,31.180742,16.466331,55.914165,56.423599
86.113777,31.369892,16.660805,56.598858,56.811283
86.299622,31.637535,16.787523,56.734699,57.030373
85.86367,31.341719,16.700651,56.267998,56.729763
85.785049,31.548986,16.86882,56.563419,56.887711
85.84938,31.709978,16.785139,57.012333,57.004887
85.692184,31.59326,16.721378,56.74062,56.887711
86.099503,31.718016,16.809046,56.693378,56.780708
85.899422,31.597273,16.856869,56.055351,56.525955
86.170967,31.488619,16.923819,55.718616,56.393513
86.371071,31.452396,16.99316,55.352345,56.332382
86.535461,31.639544,17.119881,55.452785,56.225388
86.756973,31.742176,17.272909,55.730469,56.281437
87.078423,32.219086,17.480934,55.724529,56.271259
87.107101,31.917231,17.323124,55.630051,56.205006
87.157349,32.158714,17.239437,56.03767,56.393513
87.229095,32.062126,17.40202,56.716984,56.796017
86.002144,31.699905,17.095974,56.657906,56.831699
85.37072,31.693871,17.036201,56.941509,56.974342
85.492706,31.621437,17.143793,57.09507,57.05582
